Feature,Importance
Feature_1,0.11296073594742743
Feature_2,0.02988130527695307
Feature_3,0.08785686830501185
Feature_4,0.11669627531154385
Feature_5,0.010042763159067972
Feature_6,0.1396403720837006
Feature_7,0.023228611152177787
Feature_8,0.1231797347518923
Feature_9,0.11489747114010512
Feature_10,0.060141625841423234
Feature_11,0.0119916780532737
Feature_12,0.013848512696335788
Feature_13,0.05880573730087876
Feature_14,0.01478248822222489
Feature_15,0.027685116347786635
Feature_16,0.032643720492046654
Feature_17,0.021716983918150485
